tumor_progenitor,tumor_terminal,lcmv_progenitor,lcmv_terminal
Haao,Fam102a,Camk2d,Ccng2
Hbp1,Fam20a,Camsap2,Ccni
Hdac10,Fam3c,Capg,Ccr3
Hdgfrp3,Fam64a,Capn3,Ccr5
Hectd2,Fam83d,Capsl,Ccrl2
Heg1,Fam96b,Capza2,Cd101
Hemgn,Fasl,Casp4,Cd14
Hgsnat,Fbxw11,Cbr1,Cd151
Hif1a,Fcer1g,Cbr4,Cd160
Hivep2,Fcrl6,Cbx7,Cd164
Hlcs,Fdx1,Cby1,Cd2
Hmg20a,Fen1,Cc2d1b,Cd200r1
Hmgn1,Fgl2,Ccdc107,Cd200r2
Hmox2,Fhl2,Ccdc109a,Cd200r4
Hopx,Filip1,Ccdc116,Cd226
Hsdl2,Fkbp2,Ccdc122,Cd244
Hvcn1,Fli1,Ccdc123,Cd24a
Icam2,Fndc3a,Ccdc126,Cd300a
Id3,Foxred2,Ccdc148,Cd37
Idh2,Frmd4a,Ccdc157,Cd38
Ifit3,Fuca2,Ccdc28b,Cd3e
Ifnar1,Fut7,Ccdc40,Cd3g
Ifnar2,Fxyd5,Ccdc41,Cd48
Ift140,Fyco1,Ccdc50,Cd6
Ift80,Fzr1,Ccdc64,Cd7
Igsf3,Gars,Ccdc80,Cd82
Ikbke,Gbe1,Ccdc91,Cd8a
Il16,Gbp3,Ccdc92,Cd96
Il17ra,Gbp4,Ccdc99,Cd97
Il18,Gbp7,Ccna2,Cdc14a
Il18r1,Gcnt1,Ccnb1,Cdc42ep3
Il1rl1,Gem,Ccnb2,Cdh1
Il6st,Gfpt1,Ccnf,Cdh17
Il7r,Gipc2,Ccr4,Cdipt
Immp2l,Gldc,Ccr6,Cdk14
Inpp4a,Glipr1,Ccr7,Cdk17
Inpp4b,Glis1,Cct3,Cdk6
Insr,Glmn,Cct4,Cdk9
Ip6k1,Glp1r,Cct5,Cdkal1
Ipcef1,Glrx,Cct6a,Cdkn2c
Irf2bp2,Glt25d1,Cct7,Cds2
Irf7,Gltp,Cct8,Ceacam16
Irf9,Gm10345,Cd200,Cecr5
Irgm1,Gm14446,Cd22,Cela1
Isoc2b,Gm5506,Cd28,Cenpo
Ispd,Gm6682,Cd2ap,Cep152
Itgax,Gm9199,Cd320,Cep250
Itgb1,Gm962,Cd3eap,Cep57
Itgb7,Gmppb,Cd40lg,Cetn2
Itm2a,Gnai2,Cd44,Cflar
Itpkb,Gnb1,Cd68,Cfp
Itpr2,Gnb4,Cd72,Chad
Jak2,Gng10,Cd81,Chic2
Jazf1,Gng11,Cd83,Chit1
Jtb,Gng2,Cd9,Chmp6
Jub,Gnptab,Cdc16,Chn2
Jun,Got1,Cdc20,Chpf2
Kbtbd11,Gp49a,Cdc25a,Chst11
Kcnmb1,Gpaa1,Cdc25b,Chst12
Kcnn4,Gpd2,Cdc45,Chst2
Kcnq1ot1,Gpr171,Cdc6,Chsy1
Kdm5b,Gpr35,Cdc7,Ciapin1
Kdm6b,Gpr56,Cdca3,Cish
Kdsr,Gpr65,Cdca5,Ckb
Kif1b,Gpr97,Cdca7,Clp1
Kif3b,Gpsm2,Cdca8,Clptm1
Kit,Gsg2,Cdk2ap1,Clspn
Klf2,Gsr,Cdk2ap2,Clta
Klf3,Gtdc1,Cdk4,Cltc
Klf4,Gtse1,Cdk7,Cmklr1
Klhdc5,Gzma,Cdkn2d,Cmpk1
Klhl24,Gzmb,Cdkn3,Cmtm3
Klhl6,Gzmc,Cdon,Cmtm7
Klrk1,Gzmd,Cdr2,Cnot8
L3mbtl3,Gzme,Cdv3,Cobra1
Lad1,Gzmf,Celf1,Coch
Lamp1,Gzmg,Celsr1,Col23a1
Lax1,H1f0,Cenpa,Commd8
Ldlrap1,H3f3b,Cenpe,Copb1
Lef1,Havcr2,Cenpm,Coro2a
Leng9,Hccs,Cenpt,Cox8a
Lif,Hilpda,Cep164,Cpeb2
Limd2,Hint1,Cep290,Cpped1
Lphn1,Hist1h1b,Ces2c,Cpt1a
Lpp,Hist1h1c,Chaf1a,Crat
Lrig1,Hist1h1e,Chd3,Crbn
Lrrc8a,Hist1h2ae,Chek1,Creb1
Lrrc8d,Hist1h4d,Chka,Creld2
Lrrk2,Hk1,Chrm4,Crim1
Lsr,Hmbs,Cisd1,Cript
Lta,Hmmr,Cks1b,Crlf2
Ltb,Hsd11b1,Cks2,Crot
Ly6e,Hsp90b1,Cldn10,Csf1
Ly9,Hspa5,Cldn25,Csk
Lysmd2,Htra3,Clec12a,Csnk1d
Macf1,Ica1,Clec2i,Csnk1e
Madd,Icam1,Clic4,Csrnp2
Maml2,Id2,Clns1a,Cstad
Man2a2,Idh3a,Clpb,Cstf2t
Map3k8,Ifng,Clstn1,Ctnnbip1
Map4k4,Ifngr1,Clybl,Ctnnd2
Mapk11,Igsf5,Cmah,Ctns
Marcksl1,Il10,Cmpk2,Ctsa
Mavs,Il12rb1,Cnih3,Ctsc
Max,Il12rb2,Cnot6l,Ctsd
Mbp,Il1r2,Cnpy2,Ctsh
Mcoln2,Il21r,Cnrip1,Cuedc1
Mdn1,Il2ra,Coil,Cuta
Mettl8,Il2rb,Commd3,Cx3cr1
Mgat5,Impdh1,Comtd1,Cxcr6
Mgrn1,Incenp,Coro1a,Cyba
Mgst2,Insrr,Coro7,Cybasc3
Mir682,Irf8,Cotl1,Cyfip2
Mkl2,Isg20,Cox4nb,Cysltr2
Mll2,Itga1,Cox7a2l,Cyth4
Mllt3,Itga3,Cpm,Cytip
Mrpl9,Itgam,Cpne3,D16Ertd472e
Mrps6,Itgav,Cpsf3,D1Ertd622e
Ms4a4c,Itgb2,Crb2,D4Wsu53e
Ms4a6b,Itih5,Crip2,D630039A03Rik
Msi2,Itm2b,Crlf3,D730040F13Rik
Mtap7,Itpripl1,Crtam,D8Ertd82e
Mtmr7,Jam2,Crtc1,D930048N14Rik
Mtss1,Kdelr2,Cry1,Dad1
Myb,Khnyn,Cs,Daglb
Mycbp2,Kif11,Csda,Dand5
Myo9a,Kif20a,Csrp2bp,Dapk2
N4bp2l1,Kif22,Cstf1,Dazap2
Napb,Klc1,Ctla2a,Dcaf7
Ndufa6,Klhl25,Ctla2b,Dclk2
Nek7,Klhl30,Ctnnal1,Dctn1
Nfat5,Krtcap2,Ctps,Dcun1d3
Nfatc2,Lamb3,Ctss,Ddit3
Nfatc3,Lamc1,Ctsz,Ddrgk1
Nfia,Lamc2,Cttn,Ddx20
Nfkb1,Lasp1,Cux1,Ddx28
Nhedc2,Lass2,Cwc15,Dedd2
Ninj1,Lass6,Cxcl10,Def6
Nipbl,Lat2,Cxcl11,Dennd1b
Nisch,Lbr,Cxcr4,Dennd4a
Nlrc5,Lcp1,Cxcr5,Dennd5a
Nop10,Ldha,Cxxc5,Dgat1
Nptn,Ldlr,D030028A08Rik,Dgkd
Nr4a1,Leprotl1,D10Bwg1379e,Dhrs7b
Nrn1,Lfng,D17H6S56E-3,Diap1
Nsf,Lgals1,D17Wsu104e,Dnajb1
Nsg2,Lgals3,D18Ertd653e,Dnajb11
Nt5e,Lgals3bp,D19Bwg1357e,Dnajb4
Nudt14,Lgi2,D230037D09Rik,Dnmt1
Oaf,Lilrb4,D2Ertd750e,Dnmt3b
Oas3,Lime1,D630037F22Rik,Dock10
Ogt,Lims1,D6Wsu163e,Dock5
Orai2,Lipa,D830031N03Rik,Dok1
Otx1,Litaf,D930016D06Rik,Dok2
Oxr1,Lman2,Daam1,Dok4
P2rx4,Lmnb1,Dap,Donson
P2rx7,Lrrc58,Dap3,Dopey2
P2ry10,Lrrc59,Dapl1,Dpep2
Pabpc1,Lrrc8c,Dars,Dpy19l4
Pacsin1,Lrrfip2,Daxx,Dpysl2
Paip2,Lrrk1,Dbi,Dtx1
Paip2b,Lrrn4,Dclk1,Dus2l
Pan3,Lss,Dctd,Dusp10
Parg,Ltb4r1,Ddb1,Dusp2
Parp3,Ltf,Ddit4,Dusp5
Parp8,Lxn,Ddx27,Dusp6
Patz1,Ly6a,Ddx39b,Dusp7
Pbxip1,Ly6g5b,Ddx3x,Dync1li1
Pcgf5,Lyn,Ddx49,Dync1li2
Pdcd4,Lyst,Ddx60,Dynll2
Pde2a,M6pr,Decr1,Dynlrb1
Pdlim1,Man2b1,Degs2,E130309D02Rik
Pdrg1,Manf,Dennd1a,E230016K23Rik
Pecam1,Map2k3,Dennd2d,Eaf1
Pgcp,Mapk6,Dera,Ebp
Phc2,Mapkapk3,Derl3,Ech1
Phf21a,Mapre2,Dgcr6,Edaradd
Pik3ip1,Mdh2,Dgka,Edem1
Pik3r2,Mdm2,Dguok,Efcab4b
Pik3r5,Med30,Dhcr24,Efhd2
Pim2,Med7,Dhdh,Efr3a
Pisd,Mef2a,Dhfr,Ehbp1l1
Pisd-ps1,Mgat2,Dhh,Ehd1
Pitpnm1,Mgat3,Dhodh,Eid3
Pja1,Mical2,Dhrs3,Eif1
Pla2g4f,Mki67,Dhx58,Eif1ad
Plcxd2,Mlkl,Dirc2,Eif2ak3
Pld4,Mreg,Dkc1,Eif2c3
Plin3,Mrgpre,Dkk3,Eif2c4
Plxdc2,Mt1,Dlg4,Eif4e3
Plxnc1,Mt2,Dlgap5,Elac1
Pml,Mt3,Dmd,Elmo2
Pms1,Mta3,Dmrta1,Emid1
Polg2,Mtap6,Dmwd,Emilin2
Polr3e,Mtpn,Dnahc8,Eml1
Pou2f2,Mxd1,Dnaja3,Enpp4
Pou6f1,Mxi1,Dnajb2,Enpp5
Ppic,Myadm,Dnajb3,Enpp6
Ppp1cb,Myl12a,Dnajc10,Ensa
Ppp1r15a,Myo10,Dnajc11,Entpd1
