Safford_anergy,Parish_deletional_tolerance,Miao_Egr2,Zheng_Egr2
,,F830016B08Rik,
,,Haao,
,,Plekhf1,
,,Gpr65,
,,Armc7,
,,Gcnt1,
,,Dcun1d3,
,,Lyst,
,,Dkkl1,
,,Anxa2,
,,Slamf7,
,,St3gal6,
,,Trpc6,
,,Rasl12,
,,Tnfrsf13c,
,,Cyp4x1os,
,,Nptn,
,,Npnt,
,,Iqcg,
,,4930533N22Rik,
,,Slc18b1,
,,1700025G04Rik,
,,Atp10d,
,,Chst11,
,,Zbtb8a,
,,Fhl2,
,,Tyrobp,
,,9930012K11Rik,
,,Naip5,
,,S100a6,
,,Itga4,
,,Sfn,
,,Spats2,
,,Nkd1,
,,Ifng,
,,Gm17821,
,,Hmga2-ps1,
,,Ly6i,
,,Naip1,
,,Gm12018,
,,Sema3e,
,,Umad1,
,,Il1b,
,,N4bp1,
,,A630033H20Rik,
,,Gm19557,
,,Echdc2,
,,Gm614,
,,Insl6,
,,Il18,
,,Gimap7,
,,Hs3st3b1,
,,Snord35b,
,,Ephb2,
,,Gpr171,
,,Cyb5r4,
,,Slc40a1,
,,Arl15,
,,Ctsc,
,,Cd48,
,,Cdc42ep3,
,,Klrd1,
,,4930512M02Rik,
,,Ppm1j,
,,Hic1,
,,Kcnk6,
,,Xdh,
,,Cdk5rap1,
,,Acpp,
,,Agps,
,,Zfp605,
,,Aifm2,
,,Col7a1,
,,Camk2n1,
,,Rmdn2,
,,Lrrc49,
,,Igf2r,
,,Kctd11,
,,Vcl,
,,Hs3st3a1,
,,Pttg1,
,,Ncald,
,,Cxadr,
,,Rps6kl1,
,,Fbxl2,
,,Dclk2,
,,Serp2,
,,Tshz3,
,,Rap2a,
,,Dusp3,
,,Nrp1,
,,Pglyrp1,
,,Trps1,
,,Atp8b4,
,,A930006K02Rik,
,,Dcbld2,
,,Prnp,
,,Ccl5,
,,Zfp825,
,,Gm8989,
,,Cdh1,
,,Nckap1,
,,Swap70,
,,Cnrip1,
,,Naip6,
,,Gab3,
,,Dlg5,
,,Gna15,
,,Nhsl2,
,,Rnd3,
,,Eaf2,
,,Ddr1,
,,Lgals3,
,,Arl5a,
,,Amotl1,
,,4930431F12Rik,
,,Ehd2,
,,Trim69,
,,Grk5,
,,Slc52a3,
,,2610037D02Rik,
,,Il31ra,
,,4930480K23Rik,
,,Gm10324,
,,Unc13a,
,,Phxr4,
,,3110002H16Rik,
,,Dab2ip,
,,Camk2b,
,,Atp2b1,
,,Lysmd3,
,,Ppp1r12a,
,,4933409K07Rik,
,,Ahsa2,
,,4933431E20Rik,
,,Clcn5,
,,C030034I22Rik,
,,Gm7609,
,,Hpse,
,,Gm19757,
,,Hsph1,
,,Pkd2,
,,Pcgf2,
,,Trpm6,
,,Pla2g4c,
,,Lpar6,
,,9830147E19Rik,
,,Slc25a24,
,,Idh1,
,,Gramd3,
,,Gm12253,
,,Rnf138,
,,Atp11b,
,,Raph1,
,,C920009B18Rik,
,,Cldnd2,
,,H2afy3,
,,Tmem151a,
,,Marveld2,
,,Rec114,
,,Tnfrsf1b,
,,Prss30,
,,Gpr183,
,,Dusp5,
,,Kmo,
,,Nqo2,
,,Arap2,
,,1500009L16Rik,
,,Osgin1,
,,Gm14005,
,,9030619P08Rik,
,,Rpph1,
,,2810474O19Rik,
,,Pde4a,
,,Ccr6,
,,Spag1,
,,Klrg1,
,,Peak1,
,,Fam196b,
,,Prkx,
,,Lamc1,
,,9330159F19Rik,
,,Hist3h2ba,
,,Slc5a12,
,,Phf21b,
,,Zfp758,
,,S100a10,
,,Cyb561,
,,Ulbp1,
,,Samsn1,
,,Gem,
,,Pira6,
,,Ttbk1,
,,S100a4,
,,B4galt6,
,,Adam1a,
,,Tsga10,
,,Igsf9b,
,,Gpr160,
,,Apobr,
,,Dock5,
,,Ap1s2,
,,Nrp2,
,,Serpinb6a,
,,Bicd1,
,,Mxd1,
,,2610020H08Rik,
,,Gnptg,
,,Tmem163,
,,Btnl5-ps,
,,Gfra2,
,,Sdcbp2,
,,Dlg2,
,,Kcnj8,
,,Cysltr1,
,,Zfp40,
,,Apbb1,
,,Mrc1,
,,Abhd14b,
,,Cnksr1,
,,Ly6c1,
,,Trim36,
,,Fam129b,
,,Cacng8,
,,Iqgap2,
,,Neb,
,,Fancf,
,,Galnt14,
,,Ptpn4,
,,Klri2,
,,BC030336,
,,Gsg1l,
,,Pmaip1,
,,AI314278,
,,1700063D05Rik,
,,F2r,
,,Ica1,
,,AA388235,
,,Airn,
,,Cib2,
,,Tle1,
,,1110028F11Rik,
,,Dubr,
,,Hip1,
,,Pcyt1a,
,,Itsn1,
,,2410018L13Rik,
,,Nradd,
,,Zfp612,
,,Ildr1,
,,Sepn1,
,,Slc41a2,
,,Klf12,
,,Slc16a6,
,,Zfp69,
,,Unc79,
,,Cd5l,
,,Fndc9,
,,Rps4l,
